"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Carbohydrate:Proton Symporter Activity (GO:0005351)","4/6",0.0588826098222734,0.949047477929967,0,0,5.03023909985935,14.2466908709052,"SLC2A9;SLC45A3;SLC2A10;SLC45A1"
"Cell-Matrix Adhesion Mediator Activity (GO:0098634)","4/6",0.0588826098222734,0.949047477929967,0,0,5.03023909985935,14.2466908709052,"ITGB1;ITGA2;ITGA1;ITGA11"
"Fatty Acid Elongase Activity (GO:0009922)","4/6",0.0588826098222734,0.949047477929967,0,0,5.03023909985935,14.2466908709052,"ELOVL5;ELOVL2;ELOVL6;ELOVL7"
"fatty-acyl-CoA Synthase Activity (GO:0004321)","4/6",0.0588826098222734,0.949047477929967,0,0,5.03023909985935,14.2466908709052,"ACSM2A;ACSM5;ACSM4;ACSM2B"
"Symporter Activity (GO:0015293)","4/6",0.0588826098222734,0.949047477929967,0,0,5.03023909985935,14.2466908709052,"SLC2A10;SLC2A12;SLC5A12;SLC4A4"
"Phosphatidylinositol-3,4,5-Trisphosphate Binding (GO:0005547)","15/36",0.0614114436500089,0.949047477929967,0,0,1.79760436850449,5.01560215557975,"PLEKHB2;MYO10;PLA2G4E;MAPKAP1;GBF1;COMMD1;IQGAP2;CYTH3;JPH2;MYO1B;FCHSD2;ZFYVE16;PARD3;RAG2;FERMT2"
"Calcium-Activated Potassium Channel Activity (GO:0015269)","6/11",0.061997239126836,0.949047477929967,0,0,3.01857193105874,8.39363860199574,"KCNU1;KCNMB1;KCNMA1;KCNMB2;KCNN2;KCNN3"
"1-Acylglycerol-3-Phosphate O-acyltransferase Activity (GO:0003841)","9/19",0.0623104494577767,0.949047477929967,0,0,2.26433221889847,6.28493969460576,"AGPAT5;LPGAT1;GPAT4;MBOAT1;MBOAT2;GPAT3;LCLAT1;AGPAT3;AGPAT4"
"MAP Kinase Kinase Kinase Activity (GO:0004709)","9/19",0.0623104494577767,0.949047477929967,0,0,2.26433221889847,6.28493969460576,"RIPK2;MAP3K20;MAP3K21;MAP3K9;MAP3K13;MAP3K6;MAP3K7;MAP3K4;MAP3K5"
"L-amino Acid Transmembrane Transporter Activity (GO:0015179)","24/63",0.062448486864159,0.949047477929967,0,0,1.5492101406004,4.29659996546278,"SLC36A1;SLC36A3;SLC38A1;SLC36A2;SLC1A1;SLC43A1;SLC1A2;SLC7A13;SLC1A3;SLC38A10;SLC16A10;SLC7A11;SLC7A1;SLC7A2;SLC25A26;SLC7A9;UCP2;SLC38A9;SLC25A12;SLC36A4;SLC38A2;SERINC5;SLC25A13;SLC38A4"
"Transcription Corepressor Binding (GO:0001222)","17/42",0.0630921076151944,0.949047477929967,0,0,1.71144317180617,4.72899062091127,"HDAC5;CTBP2;CTBP1;STAT1;ZBTB16;LEF1;EHMT1;TRAPPC2B;RORA;ETS1;ESR1;RUNX3;PBX1;PER2;PER1;CTNNB1;ELOC"
